Host,Parasitoid,Temp,Treat,Sex,individual,body_weight
BIP,D,28,N,F,1,0.062
BIP,D,28,N,F,2,0.048
BIP,D,28,N,F,3,0.062
BIP,D,28,N,F,4,0.06
BIP,D,28,N,F,5,0.052
BIP,D,28,N,F,6,0.048
BIP,D,28,N,F,7,0.051
BIP,D,28,N,F,8,0.061
BIP,D,28,N,F,9,0.061
BIP,D,28,N,F,10,0.054
BIP,D,28,N,F,11,0.06
BIP,D,28,N,F,12,0.047
BIP,D,28,N,F,13,0.039
BIP,D,28,N,F,14,0.058
BIP,D,28,N,F,15,0.061
BIP,D,28,N,F,16,0.048
BIP,D,28,N,F,17,0.056
BIP,D,28,N,F,18,0.055
BIP,D,28,N,F,19,0.06
BIP,D,28,N,F,20,0.058
BIP,G,24,N,F,1,0.059
BIP,G,24,N,F,2,0.055
BIP,G,24,N,F,3,0.073
BIP,G,24,N,F,4,0.053
BIP,G,24,N,F,5,0.058
BIP,G,24,N,F,6,0.068
BIP,G,24,N,F,7,0.06
BIP,G,24,N,F,8,0.059
BIP,G,24,N,F,9,0.048
BIP,G,24,N,F,10,0.066
BIP,D,24,N,F,1,0.049
BIP,D,24,N,F,2,0.053
BIP,D,24,N,F,3,0.053
BIP,D,24,N,F,4,0.058
BIP,D,24,N,F,5,0.067
BIP,D,24,N,F,6,0.066
BIP,D,24,N,F,7,0.056
BIP,D,24,N,F,8,0.063
BIP,D,24,N,F,9,0.051
BIP,D,24,N,F,10,0.054
BIP,D,24,N,F,11,0.062
BIP,D,24,N,F,12,0.048
BIP,D,24,N,F,13,0.049
BIP,D,24,N,F,14,0.045
BIP,D,24,N,F,15,0.056
BIP,D,24,N,F,16,0.056
BIP,D,24,N,F,17,0.053
BIP,D,24,N,F,18,0.06
BIP,D,24,N,F,19,0.068
BIP,D,24,N,F,20,0.055
BIP,G,20,N,F,1,0.063
BIP,G,20,N,F,2,0.062
BIP,G,20,N,F,3,0.091
BIP,G,20,N,F,4,0.056
BIP,D,20,N,F,1,0.064
BIP,D,20,N,F,2,0.064
BIP,D,20,N,F,3,0.064
BIP,D,20,N,F,4,0.056
BIP,D,20,N,F,5,0.075
BIP,D,20,N,F,6,0.069
BIP,D,20,N,F,7,0.065
BIP,D,20,N,F,8,0.061
BIP,D,20,N,F,9,0.054
BIP,D,20,N,F,10,0.074
BIP,D,20,N,F,11,0.064
BIP,D,20,N,F,12,0.076
BIP,D,20,N,F,13,0.063
BIP,D,20,N,F,14,0.056
BIP,D,20,N,F,15,0.054
BIP,D,20,N,F,16,0.052
BIP,D,20,N,F,17,0.07
BIP,D,20,N,F,18,0.076
BIP,D,20,N,F,19,0.066
BIP,D,20,N,F,20,0.064
BIR,D,28,N,F,1,0.058
BIR,D,28,N,F,2,0.052
BIR,D,28,N,F,3,0.061
BIR,D,28,N,F,4,0.052
BIR,D,28,N,F,5,0.051
BIR,D,28,N,F,6,0.051
BIR,D,28,N,F,7,0.056
BIR,D,28,N,F,8,0.054
BIR,D,28,N,F,9,0.057
BIR,D,28,N,F,10,0.057
BIR,D,28,N,F,11,0.058
BIR,D,28,N,F,12,0.056
BIR,D,28,N,F,13,0.059
BIR,D,28,N,F,14,0.056
BIR,D,28,N,F,15,0.054
BIR,D,28,N,F,16,0.048
BIR,D,28,N,F,17,0.056
BIR,D,28,N,F,18,0.039
BIR,D,28,N,F,19,0.04
BIR,D,28,N,F,20,0.047
BIR,A,24,N,F,1,0.1
BIR,A,24,N,F,2,0.093
BIR,A,24,N,F,3,0.103
BIR,A,24,N,F,4,0.115
BIR,A,24,N,F,5,0.093
BIR,A,24,N,F,6,0.112
BIR,A,24,N,F,7,0.112
BIR,A,24,N,F,8,0.089
BIR,A,24,N,F,9,0.117
BIR,A,24,N,F,10,0.083
BIR,A,24,N,F,11,0.118
BIR,A,24,N,F,12,0.117
BIR,A,24,N,F,13,0.09
BIR,A,24,N,F,14,0.096
BIR,A,24,N,F,15,0.104
BIR,A,24,N,F,16,0.095
BIR,A,24,N,F,17,0.085
BIR,A,24,N,F,18,0.095
BIR,A,24,N,F,19,0.09
BIR,A,24,N,F,20,0.121
BIR,G,24,N,F,1,0.055
BIR,G,24,N,F,2,0.076
BIR,G,24,N,F,3,0.078
BIR,G,24,N,F,4,0.051
BIR,G,24,N,F,5,0.066
BIR,G,24,N,F,6,0.069
BIR,G,24,N,F,7,0.07
BIR,G,24,N,F,8,0.074
BIR,G,24,N,F,9,0.071
BIR,G,24,N,F,10,0.073
BIR,G,24,N,F,11,0.06
BIR,G,24,N,F,12,0.074
BIR,G,24,N,F,13,0.073
BIR,G,24,N,F,14,0.065
BIR,G,24,N,F,15,0.065
BIR,G,24,N,F,16,0.089
BIR,G,24,N,F,17,0.057
BIR,G,24,N,F,18,0.076
BIR,G,24,N,F,19,0.081
BIR,G,24,N,F,20,0.086
BIR,L,24,N,F,1,0.068
BIR,L,24,N,F,2,0.078
BIR,L,24,N,F,3,0.085
BIR,L,24,N,F,4,0.087
BIR,L,24,N,F,5,0.089
BIR,L,24,N,F,6,0.077
BIR,L,24,N,F,7,0.091
BIR,L,24,N,F,8,0.077
BIR,L,24,N,F,9,0.083
BIR,L,24,N,F,10,0.099
BIR,L,24,N,F,11,0.099
BIR,L,24,N,F,12,0.075
BIR,L,24,N,F,13,0.078
BIR,L,24,N,F,14,0.074
BIR,L,24,N,F,15,0.084
BIR,L,24,N,F,16,0.089
BIR,L,24,N,F,17,0.076
BIR,L,24,N,F,18,0.095
BIR,L,24,N,F,19,0.094
BIR,L,24,N,F,20,0.098
BIR,D,24,N,F,1,0.074
BIR,D,24,N,F,2,0.07
BIR,D,24,N,F,3,0.067
BIR,D,24,N,F,4,0.081
BIR,D,24,N,F,5,0.074
BIR,D,24,N,F,6,0.075
BIR,D,24,N,F,7,0.066
BIR,D,24,N,F,8,0.056
BIR,D,24,N,F,9,0.069
BIR,D,24,N,F,10,0.086
BIR,D,24,N,F,11,0.078
BIR,D,24,N,F,12,0.08
BIR,D,24,N,F,13,0.072
BIR,D,24,N,F,14,0.073
BIR,D,24,N,F,15,0.067
BIR,D,24,N,F,16,0.065
BIR,D,24,N,F,17,0.063
BIR,D,24,N,F,18,0.064
BIR,D,24,N,F,19,0.062
BIR,D,24,N,F,20,0.071
BIR,A,20,N,F,1,0.124
BIR,A,20,N,F,2,0.105
BIR,A,20,N,F,3,0.093
BIR,A,20,N,F,4,0.084
BIR,A,20,N,F,5,0.098
BIR,A,20,N,F,6,0.101
BIR,A,20,N,F,7,0.092
BIR,A,20,N,F,8,0.122
BIR,A,20,N,F,9,0.129
BIR,A,20,N,F,10,0.107
BIR,A,20,N,F,11,0.114
BIR,A,20,N,F,12,0.096
BIR,A,20,N,F,13,0.122
BIR,A,20,N,F,14,0.122
BIR,A,20,N,F,15,0.085
BIR,A,20,N,F,16,0.103
BIR,A,20,N,F,17,0.105
BIR,A,20,N,F,18,0.094
BIR,A,20,N,F,19,0.111
BIR,A,20,N,F,20,0.106
BIR,G,20,N,F,1,0.099
BIR,G,20,N,F,2,0.075
BIR,G,20,N,F,3,0.083
BIR,G,20,N,F,4,0.074
BIR,G,20,N,F,5,0.056
BIR,G,20,N,F,6,0.059
BIR,G,20,N,F,7,0.067
BIR,G,20,N,F,8,0.062
BIR,G,20,N,F,9,0.08
BIR,G,20,N,F,10,0.063
BIR,G,20,N,F,11,0.052
BIR,G,20,N,F,12,0.092
BIR,G,20,N,F,13,0.084
BIR,G,20,N,F,14,0.082
BIR,G,20,N,F,15,0.07
BIR,G,20,N,F,16,0.088
BIR,G,20,N,F,17,0.075
BIR,G,20,N,F,18,0.067
BIR,G,20,N,F,19,0.09
BIR,G,20,N,F,20,0.072
BIR,L,20,N,F,1,0.09
BIR,L,20,N,F,2,0.097
BIR,L,20,N,F,3,0.103
BIR,L,20,N,F,4,0.088
BIR,L,20,N,F,5,0.095
BIR,L,20,N,F,6,0.088
BIR,L,20,N,F,7,0.097
BIR,L,20,N,F,8,0.109
BIR,L,20,N,F,9,0.102
BIR,L,20,N,F,10,0.094
BIR,L,20,N,F,11,0.121
BIR,L,20,N,F,12,0.104
BIR,L,20,N,F,13,0.111
BIR,L,20,N,F,14,0.098
BIR,L,20,N,F,15,0.098
BIR,L,20,N,F,16,0.104
BIR,L,20,N,F,17,0.095
BIR,L,20,N,F,18,0.099
BIR,L,20,N,F,19,0.087
BIR,L,20,N,F,20,0.091
BIR,D,20,N,F,1,0.072
BIR,D,20,N,F,2,0.064
BIR,D,20,N,F,3,0.074
BIR,D,20,N,F,4,0.078
BIR,D,20,N,F,5,0.066
BIR,D,20,N,F,6,0.072
BIR,D,20,N,F,7,0.073
BIR,D,20,N,F,8,0.065
BIR,D,20,N,F,9,0.065
BIR,D,20,N,F,10,0.071
BIR,D,20,N,F,11,0.072
BIR,D,20,N,F,12,0.07
BIR,D,20,N,F,13,0.066
BIR,D,20,N,F,14,0.073
BIR,D,20,N,F,15,0.075
BIR,D,20,N,F,16,0.07
BIR,D,20,N,F,17,0.067
BIR,D,20,N,F,18,0.082
BIR,D,20,N,F,19,0.076
BIR,D,20,N,F,20,0.082
BIR,A,24,M,F,1,0.096
BIR,A,24,M,F,2,0.096
BIR,A,24,M,F,3,0.084
BIR,A,24,M,F,4,0.102
BIR,A,24,M,F,5,0.099
BIR,A,24,M,F,6,0.121
BIR,A,24,M,F,7,0.089
BIR,A,24,M,F,8,0.081
BIR,A,24,M,F,9,0.091
BIR,A,24,M,F,10,0.101
BIR,A,24,M,F,11,0.097
BIR,A,24,M,F,12,0.083
BIR,A,24,M,F,13,0.089
BIR,A,24,M,F,14,0.098
BIR,A,24,M,F,15,0.085
BIR,A,24,M,F,16,0.086
BIR,A,24,M,F,17,0.085
BIR,A,24,M,F,18,0.102
BIR,A,24,M,F,19,0.089
BIR,A,24,M,F,20,0.094
BIR,G,24,M,F,1,0.063
BIR,G,24,M,F,2,0.067
BIR,G,24,M,F,3,0.061
BIR,G,24,M,F,4,0.069
BIR,G,24,M,F,5,0.076
BIR,G,24,M,F,6,0.065
BIR,G,24,M,F,7,0.061
BIR,G,24,M,F,8,0.082
BIR,G,24,M,F,9,0.063
BIR,G,24,M,F,10,0.068
BIR,G,24,M,F,11,0.07
BIR,G,24,M,F,12,0.061
BIR,G,24,M,F,13,0.062
BIR,G,24,M,F,14,0.058
BIR,G,24,M,F,15,0.068
BIR,G,24,M,F,16,
BIR,G,24,M,F,17,
BIR,G,24,M,F,18,
BIR,G,24,M,F,19,
BIR,G,24,M,F,20,
BIR,L,24,M,F,1,0.09
BIR,L,24,M,F,2,0.061
BIR,L,24,M,F,3,0.068
BIR,L,24,M,F,4,0.068
BIR,L,24,M,F,5,0.074
BIR,L,24,M,F,6,0.083
BIR,L,24,M,F,7,0.071
BIR,L,24,M,F,8,0.088
BIR,L,24,M,F,9,0.068
BIR,L,24,M,F,10,0.083
BIR,L,24,M,F,11,0.08
BIR,L,24,M,F,12,0.073
BIR,L,24,M,F,13,0.091
BIR,L,24,M,F,14,0.078
BIR,L,24,M,F,15,0.077
BIR,L,24,M,F,16,0.083
BIR,L,24,M,F,17,0.065
BIR,L,24,M,F,18,0.092
BIR,L,24,M,F,19,0.096
BIR,L,24,M,F,20,0.093
BIR,A,20,M,F,1,0.099
BIR,A,20,M,F,2,0.093
BIR,A,20,M,F,3,
BIR,A,20,M,F,4,
BIR,A,20,M,F,5,
BIR,A,20,M,F,6,
BIR,A,20,M,F,7,
BIR,A,20,M,F,8,
BIR,A,20,M,F,9,
BIR,A,20,M,F,10,
BIR,A,20,M,F,11,
BIR,A,20,M,F,12,
BIR,A,20,M,F,13,
BIR,A,20,M,F,14,
BIR,A,20,M,F,15,
BIR,A,20,M,F,16,
BIR,A,20,M,F,17,
BIR,A,20,M,F,18,
BIR,A,20,M,F,19,
BIR,A,20,M,F,20,
BIR,G,20,M,F,1,0.066
BIR,G,20,M,F,2,0.053
BIR,G,20,M,F,3,0.062
BIR,G,20,M,F,4,0.066
BIR,G,20,M,F,5,0.053
BIR,G,20,M,F,6,0.079
BIR,G,20,M,F,7,0.069
BIR,G,20,M,F,8,
BIR,G,20,M,F,9,
BIR,G,20,M,F,10,
BIR,G,20,M,F,11,
BIR,G,20,M,F,12,
BIR,G,20,M,F,13,
BIR,G,20,M,F,14,
BIR,G,20,M,F,15,
BIR,G,20,M,F,16,
BIR,G,20,M,F,17,
BIR,G,20,M,F,18,
BIR,G,20,M,F,19,
BIR,G,20,M,F,20,
BIR,L,20,M,F,1,0.078
BIR,L,20,M,F,2,0.074
BIR,L,20,M,F,3,0.079
BIR,L,20,M,F,4,0.08
BIR,L,20,M,F,5,0.083
BIR,L,20,M,F,6,0.099
BIR,L,20,M,F,7,0.083
BIR,L,20,M,F,8,0.068
BIR,L,20,M,F,9,0.066
BIR,L,20,M,F,10,0.083
BIR,L,20,M,F,11,0.062
BIR,L,20,M,F,12,0.074
BIR,L,20,M,F,13,0.09
BIR,L,20,M,F,14,0.086
BIR,L,20,M,F,15,0.103
BIR,L,20,M,F,16,0.086
BIR,L,20,M,F,17,0.078
BIR,L,20,M,F,18,0.077
BIR,L,20,M,F,19,0.089
BIR,L,20,M,F,20,0.065
PAL,A,28,N,F,1,0.101
PAL,A,28,N,F,2,0.072
PAL,A,28,N,F,3,0.12
PAL,A,28,N,F,4,0.101
PAL,A,28,N,F,5,0.094
PAL,A,28,N,F,6,0.087
PAL,A,28,N,F,7,0.076
PAL,A,28,N,F,8,0.08
PAL,A,28,N,F,9,0.068
PAL,A,28,N,F,10,0.082
PAL,D,28,N,F,1,0.085
PAL,D,28,N,F,2,0.091
PAL,D,28,N,F,3,0.086
PAL,D,28,N,F,4,0.079
PAL,D,28,N,F,5,0.096
PAL,D,28,N,F,6,0.08
PAL,D,28,N,F,7,0.092
PAL,D,28,N,F,8,0.081
PAL,D,28,N,F,9,0.093
PAL,D,28,N,F,10,0.091
PAL,D,28,N,F,11,0.092
PAL,D,28,N,F,12,0.091
PAL,D,28,N,F,13,0.08
PAL,D,28,N,F,14,0.079
PAL,D,28,N,F,15,
PAL,D,28,N,F,16,
PAL,D,28,N,F,17,
PAL,D,28,N,F,18,
PAL,D,28,N,F,19,
PAL,D,28,N,F,20,
PAL,A,24,N,F,1,0.134
PAL,A,24,N,F,2,0.141
PAL,A,24,N,F,3,0.128
PAL,A,24,N,F,4,0.136
PAL,A,24,N,F,5,0.133
PAL,A,24,N,F,6,0.12
PAL,A,24,N,F,7,0.103
PAL,A,24,N,F,8,0.149
PAL,A,24,N,F,9,0.145
PAL,A,24,N,F,10,0.128
PAL,A,24,N,F,11,0.153
PAL,A,24,N,F,12,0.134
PAL,A,24,N,F,13,0.132
PAL,A,24,N,F,14,0.148
PAL,A,24,N,F,15,0.154
PAL,A,24,N,F,16,0.142
PAL,A,24,N,F,17,0.146
PAL,A,24,N,F,18,0.132
PAL,A,24,N,F,19,0.145
PAL,A,24,N,F,20,0.156
PAL,G,24,N,F,1,0.17
PAL,G,24,N,F,2,0.18
PAL,G,24,N,F,3,0.16
PAL,G,24,N,F,4,0.196
PAL,G,24,N,F,5,0.124
PAL,G,24,N,F,6,0.17
PAL,G,24,N,F,7,0.163
PAL,G,24,N,F,8,0.108
PAL,G,24,N,F,9,0.122
PAL,G,24,N,F,10,0.172
PAL,G,24,N,F,11,0.121
PAL,G,24,N,F,12,0.116
PAL,G,24,N,F,13,0.151
PAL,G,24,N,F,14,0.117
PAL,G,24,N,F,15,0.13
PAL,G,24,N,F,16,0.136
PAL,G,24,N,F,17,0.121
PAL,G,24,N,F,18,0.12
PAL,G,24,N,F,19,0.107
PAL,G,24,N,F,20,0.107
PAL,L,24,N,F,1,0.132
PAL,L,24,N,F,2,0.117
PAL,L,24,N,F,3,0.125
PAL,L,24,N,F,4,0.109
PAL,L,24,N,F,5,0.122
PAL,L,24,N,F,6,0.114
PAL,L,24,N,F,7,0.128
PAL,L,24,N,F,8,0.13
PAL,L,24,N,F,9,0.11
PAL,L,24,N,F,10,0.14
PAL,L,24,N,F,11,0.12
PAL,L,24,N,F,12,0.122
PAL,L,24,N,F,13,0.115
PAL,L,24,N,F,14,0.135
PAL,L,24,N,F,15,0.141
PAL,L,24,N,F,16,0.127
PAL,L,24,N,F,17,0.138
PAL,L,24,N,F,18,0.109
PAL,L,24,N,F,19,0.109
PAL,L,24,N,F,20,0.147
PAL,D,24,N,F,1,0.099
PAL,D,24,N,F,2,0.101
PAL,D,24,N,F,3,0.105
PAL,D,24,N,F,4,0.102
PAL,D,24,N,F,5,0.096
PAL,D,24,N,F,6,0.103
PAL,D,24,N,F,7,0.093
PAL,D,24,N,F,8,0.086
PAL,D,24,N,F,9,0.087
PAL,D,24,N,F,10,0.093
PAL,D,24,N,F,11,0.1
PAL,D,24,N,F,12,0.099
PAL,D,24,N,F,13,0.099
PAL,D,24,N,F,14,0.103
PAL,D,24,N,F,15,0.083
PAL,D,24,N,F,16,0.094
PAL,D,24,N,F,17,0.09
PAL,D,24,N,F,18,0.092
PAL,D,24,N,F,19,0.089
PAL,D,24,N,F,20,
PAL,A,20,N,F,1,0.154
PAL,A,20,N,F,2,0.134
PAL,A,20,N,F,3,0.119
PAL,A,20,N,F,4,0.169
PAL,A,20,N,F,5,0.157
PAL,A,20,N,F,6,0.156
PAL,A,20,N,F,7,0.133
PAL,A,20,N,F,8,0.136
PAL,A,20,N,F,9,0.156
PAL,A,20,N,F,10,0.168
PAL,A,20,N,F,11,0.146
PAL,A,20,N,F,12,0.148
PAL,A,20,N,F,13,0.13
PAL,A,20,N,F,14,0.106
PAL,A,20,N,F,15,0.123
PAL,A,20,N,F,16,0.158
PAL,A,20,N,F,17,0.128
PAL,A,20,N,F,18,0.135
PAL,A,20,N,F,19,0.118
PAL,A,20,N,F,20,0.143
PAL,G,20,N,F,1,0.108
PAL,G,20,N,F,2,0.172
PAL,G,20,N,F,3,0.16
PAL,G,20,N,F,4,0.111
PAL,G,20,N,F,5,0.123
