"Host","Parasitoid","Temp","H/P","Sex","individual","body_weight"
"BIP","A",28,"H","F",1,0.138
"BIP","A",28,"H","F",2,0.143
"BIP","A",28,"H","F",3,0.123
"BIP","A",28,"H","F",4,0.147
"BIP","A",28,"H","F",5,0.191
"BIP","A",28,"H","F",6,0.147
"BIP","A",28,"H","F",7,0.128
"BIP","A",28,"H","F",8,0.127
"BIP","A",28,"H","F",9,0.144
"BIP","A",28,"H","F",10,0.185
"BIP","A",28,"H","F",11,0.178
"BIP","A",28,"H","F",12,0.145
"BIP","A",28,"H","F",13,0.156
"BIP","A",28,"H","F",14,0.151
"BIP","A",28,"H","F",15,0.14
"BIP","A",28,"H","F",16,0.144
"BIP","A",28,"H","F",17,0.165
"BIP","A",28,"H","F",18,0.141
"BIP","A",28,"H","F",19,0.148
"BIP","A",28,"H","F",20,0.172
"BIP","G",28,"H","F",1,0.118
"BIP","G",28,"H","F",2,0.135
"BIP","G",28,"H","F",3,0.13
"BIP","G",28,"H","F",4,0.137
"BIP","G",28,"H","F",5,0.152
"BIP","G",28,"H","F",6,0.138
"BIP","G",28,"H","F",7,0.104
"BIP","G",28,"H","F",8,0.125
"BIP","G",28,"H","F",9,0.155
"BIP","G",28,"H","F",10,0.143
"BIP","G",28,"H","F",11,0.115
"BIP","G",28,"H","F",12,0.134
"BIP","G",28,"H","F",13,0.164
"BIP","G",28,"H","F",14,0.127
"BIP","G",28,"H","F",15,0.125
"BIP","G",28,"H","F",16,0.113
"BIP","G",28,"H","F",17,0.122
"BIP","G",28,"H","F",18,0.164
"BIP","G",28,"H","F",19,0.137
"BIP","G",28,"H","F",20,0.111
"BIP","L",28,"H","F",1,0.134
"BIP","L",28,"H","F",2,0.148
"BIP","L",28,"H","F",3,0.118
"BIP","L",28,"H","F",4,0.171
"BIP","L",28,"H","F",5,0.126
"BIP","L",28,"H","F",6,0.152
"BIP","L",28,"H","F",7,0.146
"BIP","L",28,"H","F",8,0.156
"BIP","L",28,"H","F",9,0.141
"BIP","L",28,"H","F",10,0.144
"BIP","L",28,"H","F",11,0.131
"BIP","L",28,"H","F",12,0.148
"BIP","L",28,"H","F",13,0.132
"BIP","L",28,"H","F",14,0.128
"BIP","L",28,"H","F",15,0.128
"BIP","L",28,"H","F",16,0.14
"BIP","L",28,"H","F",17,0.108
"BIP","L",28,"H","F",18,0.122
"BIP","L",28,"H","F",19,0.132
"BIP","L",28,"H","F",20,0.151
"BIP","C",28,"H","F",1,0.133
"BIP","C",28,"H","F",2,0.179
"BIP","C",28,"H","F",3,0.11
"BIP","C",28,"H","F",4,0.141
"BIP","C",28,"H","F",5,0.125
"BIP","C",28,"H","F",6,0.16
"BIP","C",28,"H","F",7,0.131
"BIP","C",28,"H","F",8,0.116
"BIP","C",28,"H","F",9,0.127
"BIP","C",28,"H","F",10,0.114
"BIP","C",28,"H","F",11,0.155
"BIP","C",28,"H","F",12,0.16
"BIP","C",28,"H","F",13,0.146
"BIP","C",28,"H","F",14,0.138
"BIP","C",28,"H","F",15,0.183
"BIP","C",28,"H","F",16,0.143
"BIP","C",28,"H","F",17,0.146
"BIP","C",28,"H","F",18,0.138
"BIP","C",28,"H","F",19,0.139
"BIP","C",28,"H","F",20,0.148
"BIP","D",28,"H","F",1,0.142
"BIP","D",28,"H","F",2,0.16
"BIP","D",28,"H","F",4,0.069
"BIP","D",28,"H","F",5,0.13
"BIP","D",28,"H","F",6,0.134
"BIP","D",28,"H","F",7,0.127
"BIP","D",28,"H","F",8,0.134
"BIP","D",28,"H","F",9,0.11
"BIP","D",28,"H","F",10,0.132
"BIP","D",28,"H","F",11,0.153
"BIP","D",28,"H","F",12,0.126
"BIP","D",28,"H","F",13,0.125
"BIP","D",28,"H","F",14,0.125
"BIP","D",28,"H","F",15,0.078
"BIP","D",28,"H","F",16,0.135
"BIP","D",28,"H","F",17,0.145
"BIP","D",28,"H","F",18,0.145
"BIP","D",28,"H","F",19,0.161
"BIP","D",28,"H","F",20,
"BIP","A",24,"H","F",1,0.146
"BIP","A",24,"H","F",2,0.131
"BIP","A",24,"H","F",3,0.153
"BIP","A",24,"H","F",4,0.148
"BIP","A",24,"H","F",5,0.147
"BIP","A",24,"H","F",6,0.135
"BIP","A",24,"H","F",7,0.136
"BIP","A",24,"H","F",8,0.174
"BIP","A",24,"H","F",9,0.192
"BIP","A",24,"H","F",10,0.142
"BIP","A",24,"H","F",11,0.131
"BIP","A",24,"H","F",12,0.145
"BIP","A",24,"H","F",13,0.12
"BIP","A",24,"H","F",14,0.155
"BIP","A",24,"H","F",15,0.167
"BIP","A",24,"H","F",16,0.125
"BIP","A",24,"H","F",17,0.135
"BIP","A",24,"H","F",18,0.124
"BIP","A",24,"H","F",19,0.135
"BIP","A",24,"H","F",20,0.155
"BIP","G",24,"H","F",1,0.136
"BIP","G",24,"H","F",2,0.148
"BIP","G",24,"H","F",3,0.187
"BIP","G",24,"H","F",4,0.119
"BIP","G",24,"H","F",5,0.198
"BIP","G",24,"H","F",6,0.129
"BIP","G",24,"H","F",7,0.137
"BIP","G",24,"H","F",8,0.129
"BIP","G",24,"H","F",9,0.139
"BIP","G",24,"H","F",10,0.12
"BIP","G",24,"H","F",11,0.152
"BIP","G",24,"H","F",12,0.173
"BIP","G",24,"H","F",13,0.133
"BIP","G",24,"H","F",14,0.092
"BIP","G",24,"H","F",15,0.121
"BIP","G",24,"H","F",16,0.134
"BIP","G",24,"H","F",17,0.13
"BIP","G",24,"H","F",18,0.13
"BIP","G",24,"H","F",19,0.101
"BIP","G",24,"H","F",20,0.122
"BIP","L",24,"H","F",1,0.226
"BIP","L",24,"H","F",2,0.126
"BIP","L",24,"H","F",3,0.144
"BIP","L",24,"H","F",4,0.166
"BIP","L",24,"H","F",5,0.145
"BIP","L",24,"H","F",6,0.152
"BIP","L",24,"H","F",7,0.133
"BIP","L",24,"H","F",8,0.143
"BIP","L",24,"H","F",9,0.207
"BIP","L",24,"H","F",10,0.159
"BIP","L",24,"H","F",11,0.158
"BIP","L",24,"H","F",12,0.178
"BIP","L",24,"H","F",13,0.134
"BIP","L",24,"H","F",14,0.206
"BIP","L",24,"H","F",15,0.137
"BIP","L",24,"H","F",16,0.171
"BIP","L",24,"H","F",17,0.22
"BIP","L",24,"H","F",18,0.134
"BIP","L",24,"H","F",19,0.222
"BIP","L",24,"H","F",20,0.145
"BIP","C",24,"H","F",1,0.19
"BIP","C",24,"H","F",2,0.143
"BIP","C",24,"H","F",3,0.169
"BIP","C",24,"H","F",4,0.194
"BIP","C",24,"H","F",5,0.142
"BIP","C",24,"H","F",6,0.149
"BIP","C",24,"H","F",7,0.224
"BIP","C",24,"H","F",8,0.215
"BIP","C",24,"H","F",9,0.177
"BIP","C",24,"H","F",10,0.173
"BIP","C",24,"H","F",11,0.174
"BIP","C",24,"H","F",12,0.136
"BIP","C",24,"H","F",13,0.142
"BIP","C",24,"H","F",14,0.142
"BIP","C",24,"H","F",15,0.149
"BIP","C",24,"H","F",16,0.154
"BIP","C",24,"H","F",17,0.138
"BIP","C",24,"H","F",18,0.14
"BIP","C",24,"H","F",19,0.153
"BIP","C",24,"H","F",20,0.214
"BIP","D",24,"H","F",1,0.136
"BIP","D",24,"H","F",2,0.232
"BIP","D",24,"H","F",3,0.193
"BIP","D",24,"H","F",4,0.163
"BIP","D",24,"H","F",5,0.167
"BIP","D",24,"H","F",6,0.122
"BIP","D",24,"H","F",7,0.17
"BIP","D",24,"H","F",8,0.177
"BIP","D",24,"H","F",9,0.17
"BIP","D",24,"H","F",10,0.116
"BIP","D",24,"H","F",11,0.19
"BIP","D",24,"H","F",12,0.176
"BIP","D",24,"H","F",13,0.12
"BIP","D",24,"H","F",14,0.162
"BIP","D",24,"H","F",15,0.239
"BIP","D",24,"H","F",16,0.206
"BIP","D",24,"H","F",17,
"BIP","D",24,"H","F",18,
"BIP","D",24,"H","F",19,
"BIP","D",24,"H","F",20,
"BIP","A",20,"H","F",1,0.143
"BIP","A",20,"H","F",2,0.153
"BIP","A",20,"H","F",3,0.146
"BIP","A",20,"H","F",4,0.144
"BIP","A",20,"H","F",5,0.136
"BIP","A",20,"H","F",6,0.122
"BIP","A",20,"H","F",7,0.148
"BIP","A",20,"H","F",8,0.144
"BIP","A",20,"H","F",9,0.145
"BIP","A",20,"H","F",10,0.162
"BIP","A",20,"H","F",11,0.094
"BIP","A",20,"H","F",12,0.248
"BIP","A",20,"H","F",13,0.148
"BIP","A",20,"H","F",14,0.146
"BIP","A",20,"H","F",15,0.072
"BIP","A",20,"H","F",16,0.114
"BIP","A",20,"H","F",17,0.084
"BIP","A",20,"H","F",18,0.244
"BIP","A",20,"H","F",19,0.141
"BIP","A",20,"H","F",20,0.142
"BIP","G",20,"H","F",1,0.14
"BIP","G",20,"H","F",2,0.116
"BIP","G",20,"H","F",3,0.121
"BIP","G",20,"H","F",4,0.129
"BIP","G",20,"H","F",5,0.148
"BIP","G",20,"H","F",6,0.187
"BIP","G",20,"H","F",7,0.124
"BIP","G",20,"H","F",8,0.125
"BIP","G",20,"H","F",9,0.114
"BIP","G",20,"H","F",10,0.128
"BIP","G",20,"H","F",11,0.119
"BIP","G",20,"H","F",12,0.185
"BIP","G",20,"H","F",13,0.152
"BIP","G",20,"H","F",14,0.136
"BIP","G",20,"H","F",15,0.145
"BIP","G",20,"H","F",16,0.127
"BIP","G",20,"H","F",17,0.132
"BIP","G",20,"H","F",18,0.146
"BIP","G",20,"H","F",19,0.14
"BIP","G",20,"H","F",20,0.153
"BIP","L",20,"H","F",1,0.141
"BIP","L",20,"H","F",2,0.124
"BIP","L",20,"H","F",3,0.156
"BIP","L",20,"H","F",4,0.16
"BIP","L",20,"H","F",5,0.151
"BIP","L",20,"H","F",6,0.152
"BIP","L",20,"H","F",7,0.146
"BIP","L",20,"H","F",8,0.123
"BIP","L",20,"H","F",9,0.163
"BIP","L",20,"H","F",10,0.139
"BIP","L",20,"H","F",11,0.155
"BIP","L",20,"H","F",12,0.15
"BIP","L",20,"H","F",13,0.16
"BIP","L",20,"H","F",14,0.156
"BIP","L",20,"H","F",15,0.149
"BIP","L",20,"H","F",16,0.142
"BIP","L",20,"H","F",17,0.153
"BIP","L",20,"H","F",18,0.146
"BIP","L",20,"H","F",19,0.118
"BIP","L",20,"H","F",20,0.139
"BIP","C",20,"H","F",1,0.171
"BIP","C",20,"H","F",2,0.169
"BIP","C",20,"H","F",3,0.144
"BIP","C",20,"H","F",4,0.16
"BIP","C",20,"H","F",5,0.154
"BIP","C",20,"H","F",6,0.158
"BIP","C",20,"H","F",7,0.15
"BIP","C",20,"H","F",8,0.148
"BIP","C",20,"H","F",9,0.135
"BIP","C",20,"H","F",10,0.156
"BIP","C",20,"H","F",11,0.182
"BIP","C",20,"H","F",12,0.165
"BIP","C",20,"H","F",13,0.168
"BIP","C",20,"H","F",14,0.169
"BIP","C",20,"H","F",15,0.197
"BIP","C",20,"H","F",16,0.155
"BIP","C",20,"H","F",17,0.158
"BIP","C",20,"H","F",18,0.156
"BIP","C",20,"H","F",19,0.155
"BIP","C",20,"H","F",20,0.163
"BIP","D",20,"H","F",1,0.147
"BIP","D",20,"H","F",2,0.151
"BIP","D",20,"H","F",3,0.139
"BIP","D",20,"H","F",4,0.156
"BIP","D",20,"H","F",5,0.181
"BIP","D",20,"H","F",6,0.135
"BIP","D",20,"H","F",7,0.135
"BIP","D",20,"H","F",8,0.153
"BIP","D",20,"H","F",9,0.141
"BIP","D",20,"H","F",10,0.129
"BIP","D",20,"H","F",11,0.139
"BIP","D",20,"H","F",12,0.155
"BIP","D",20,"H","F",13,0.118
"BIP","D",20,"H","F",14,0.15
"BIP","D",20,"H","F",15,0.153
"BIP","D",20,"H","F",16,0.145
"BIP","D",20,"H","F",17,0.145
"BIP","D",20,"H","F",18,0.143
"BIP","D",20,"H","F",19,0.169
"BIP","D",20,"H","F",20,0.143
"BIP","M",28,"H","F",1,0.145
"BIP","M",28,"H","F",2,0.101
"BIP","M",28,"H","F",3,0.121
"BIP","M",28,"H","F",4,0.118
"BIP","M",28,"H","F",5,0.147
"BIP","M",28,"H","F",6,0.169
"BIP","M",28,"H","F",7,0.155
"BIP","M",28,"H","F",8,0.132
"BIP","M",28,"H","F",9,0.16
"BIP","M",28,"H","F",10,0.14
"BIP","M",28,"H","F",11,0.123
"BIP","M",28,"H","F",12,0.143
"BIP","M",28,"H","F",13,0.154
"BIP","M",28,"H","F",14,0.122
"BIP","M",28,"H","F",15,0.113
"BIP","M",28,"H","F",16,0.142
"BIP","M",28,"H","F",17,0.136
"BIP","M",28,"H","F",18,0.151
"BIP","M",28,"H","F",19,0.152
"BIP","M",28,"H","F",20,0.127
"BIP","M",24,"H","F",1,0.112
"BIP","M",24,"H","F",2,0.14
"BIP","M",24,"H","F",3,0.115
"BIP","M",24,"H","F",4,0.112
"BIP","M",24,"H","F",5,0.105
"BIP","M",24,"H","F",6,0.146
"BIP","M",24,"H","F",7,0.159
"BIP","M",24,"H","F",8,0.139
"BIP","M",24,"H","F",9,0.165
"BIP","M",24,"H","F",10,0.141
"BIP","M",24,"H","F",11,0.112
"BIP","M",24,"H","F",12,0.151
"BIP","M",24,"H","F",13,0.189
"BIP","M",24,"H","F",14,0.19
"BIP","M",24,"H","F",15,0.14
"BIP","M",24,"H","F",16,0.156
"BIP","M",24,"H","F",17,0.13
"BIP","M",24,"H","F",18,0.124
"BIP","M",24,"H","F",19,0.133
"BIP","M",24,"H","F",20,0.099
"BIP","M",20,"H","F",1,0.148
"BIP","M",20,"H","F",2,0.115
"BIP","M",20,"H","F",3,0.144
"BIP","M",20,"H","F",4,0.137
"BIP","M",20,"H","F",5,0.128
"BIP","M",20,"H","F",6,0.142
"BIP","M",20,"H","F",7,0.136
"BIP","M",20,"H","F",8,0.115
"BIP","M",20,"H","F",9,0.145
"BIP","M",20,"H","F",10,0.111
"BIP","M",20,"H","F",11,0.15
"BIP","M",20,"H","F",12,0.154
"BIP","M",20,"H","F",13,0.134
"BIP","M",20,"H","F",14,0.114
"BIP","M",20,"H","F",15,0.135
"BIP","M",20,"H","F",16,0.128
"BIP","M",20,"H","F",17,0.13
"BIP","M",20,"H","F",18,0.153
"BIP","M",20,"H","F",19,0.148
"BIP","M",20,"H","F",20,0.172
"BIR","A",28,"H","F",1,0.103
"BIR","A",28,"H","F",2,0.146
"BIR","A",28,"H","F",3,0.138
"BIR","A",28,"H","F",4,0.108
"BIR","A",28,"H","F",5,0.132
"BIR","A",28,"H","F",6,0.094
"BIR","A",28,"H","F",7,0.109
"BIR","A",28,"H","F",8,0.104
"BIR","A",28,"H","F",9,0.118
"BIR","A",28,"H","F",10,0.101
"BIR","A",28,"H","F",11,0.138
"BIR","A",28,"H","F",12,0.144
"BIR","A",28,"H","F",13,0.135
"BIR","A",28,"H","F",14,0.125
"BIR","A",28,"H","F",15,0.148
"BIR","A",28,"H","F",16,0.112
"BIR","A",28,"H","F",17,0.148
"BIR","A",28,"H","F",18,0.119
"BIR","A",28,"H","F",19,0.117
"BIR","A",28,"H","F",20,0.144
"BIR","G",28,"H","F",1,0.103
"BIR","G",28,"H","F",2,0.116
"BIR","G",28,"H","F",3,0.13
"BIR","G",28,"H","F",4,0.133
"BIR","G",28,"H","F",5,0.14
"BIR","G",28,"H","F",6,0.087
"BIR","G",28,"H","F",7,0.138
"BIR","G",28,"H","F",8,0.112
"BIR","G",28,"H","F",9,0.131
"BIR","G",28,"H","F",10,0.123
"BIR","G",28,"H","F",11,0.13
"BIR","G",28,"H","F",12,0.187
"BIR","G",28,"H","F",13,0.119
"BIR","G",28,"H","F",14,0.148
"BIR","G",28,"H","F",15,0.122
"BIR","G",28,"H","F",16,
"BIR","G",28,"H","F",17,
"BIR","G",28,"H","F",18,
"BIR","G",28,"H","F",19,
"BIR","G",28,"H","F",20,
"BIR","L",28,"H","F",1,0.122
"BIR","L",28,"H","F",2,0.117
"BIR","L",28,"H","F",3,0.123
"BIR","L",28,"H","F",4,0.128
"BIR","L",28,"H","F",5,0.101
"BIR","L",28,"H","F",6,0.121
"BIR","L",28,"H","F",7,0.126
"BIR","L",28,"H","F",8,0.108
"BIR","L",28,"H","F",9,0.112
"BIR","L",28,"H","F",10,0.121
"BIR","L",28,"H","F",11,0.118
"BIR","L",28,"H","F",12,0.106
"BIR","L",28,"H","F",13,0.109
"BIR","L",28,"H","F",14,0.133
"BIR","L",28,"H","F",15,0.139
"BIR","L",28,"H","F",16,0.121
"BIR","L",28,"H","F",17,0.122
"BIR","L",28,"H","F",18,0.121
"BIR","L",28,"H","F",19,0.109
"BIR","L",28,"H","F",20,0.103
"BIR","C",28,"H","F",1,0.152
"BIR","C",28,"H","F",2,0.137
"BIR","C",28,"H","F",3,0.133
"BIR","C",28,"H","F",4,0.122
"BIR","C",28,"H","F",5,0.121
"BIR","C",28,"H","F",6,0.119
"BIR","C",28,"H","F",7,0.118
"BIR","C",28,"H","F",8,0.15
"BIR","C",28,"H","F",9,0.136
"BIR","C",28,"H","F",10,0.124
"BIR","C",28,"H","F",11,0.124
"BIR","C",28,"H","F",12,0.121
"BIR","C",28,"H","F",13,0.127
"BIR","C",28,"H","F",14,0.137
"BIR","C",28,"H","F",15,0.146
"BIR","C",28,"H","F",16,0.122
"BIR","C",28,"H","F",17,0.118
"BIR","C",28,"H","F",18,0.128
"BIR","C",28,"H","F",19,0.13
"BIR","C",28,"H","F",20,0.138
"BIR","D",28,"H","F",1,0.139
"BIR","D",28,"H","F",2,0.094
"BIR","D",28,"H","F",3,0.111
"BIR","D",28,"H","F",5,0.12
"BIR","D",28,"H","F",6,0.137
"BIR","D",28,"H","F",7,0.152
"BIR","D",28,"H","F",8,0.15
"BIR","D",28,"H","F",9,
"BIR","D",28,"H","F",10,
"BIR","D",28,"H","F",11,
"BIR","D",28,"H","F",12,
"BIR","D",28,"H","F",13,
"BIR","D",28,"H","F",14,
"BIR","D",28,"H","F",15,
"BIR","D",28,"H","F",16,
"BIR","D",28,"H","F",17,
"BIR","D",28,"H","F",18,
"BIR","D",28,"H","F",19,
"BIR","D",28,"H","F",20,
"BIR","A",24,"H","F",1,0.141
"BIR","A",24,"H","F",2,0.112
"BIR","A",24,"H","F",3,0.139
"BIR","A",24,"H","F",4,0.168
"BIR","A",24,"H","F",5,0.13
"BIR","A",24,"H","F",6,0.154
"BIR","A",24,"H","F",7,0.129
"BIR","A",24,"H","F",8,0.197
"BIR","A",24,"H","F",9,0.174
"BIR","A",24,"H","F",10,0.185
"BIR","A",24,"H","F",11,0.144
"BIR","A",24,"H","F",12,0.144
"BIR","A",24,"H","F",13,0.135
"BIR","A",24,"H","F",14,0.137
"BIR","A",24,"H","F",15,0.134
"BIR","A",24,"H","F",16,0.146
"BIR","A",24,"H","F",17,0.13
"BIR","A",24,"H","F",18,0.163
"BIR","A",24,"H","F",19,0.112
"BIR","A",24,"H","F",20,
"BIR","G",24,"H","F",1,0.132
"BIR","G",24,"H","F",2,0.14
"BIR","G",24,"H","F",3,0.153
"BIR","G",24,"H","F",4,0.177
"BIR","G",24,"H","F",5,0.227
"BIR","G",24,"H","F",6,0.199
"BIR","G",24,"H","F",7,0.151
"BIR","G",24,"H","F",8,0.156
"BIR","G",24,"H","F",9,0.146
"BIR","G",24,"H","F",10,0.144
"BIR","G",24,"H","F",11,0.164
"BIR","G",24,"H","F",12,0.173
"BIR","G",24,"H","F",13,0.148
"BIR","G",24,"H","F",14,0.179
"BIR","G",24,"H","F",15,0.164
"BIR","G",24,"H","F",16,0.146
"BIR","G",24,"H","F",17,0.149
"BIR","G",24,"H","F",18,0.174
"BIR","G",24,"H","F",19,0.134
"BIR","G",24,"H","F",20,0.153
"BIR","L",24,"H","F",1,0.161
"BIR","L",24,"H","F",2,0.145
"BIR","L",24,"H","F",3,0.158
"BIR","L",24,"H","F",4,0.171
"BIR","L",24,"H","F",5,0.153
"BIR","L",24,"H","F",6,0.157
"BIR","L",24,"H","F",7,0.235
"BIR","L",24,"H","F",8,0.167
"BIR","L",24,"H","F",9,0.148
"BIR","L",24,"H","F",10,0.161
"BIR","L",24,"H","F",11,0.144
"BIR","L",24,"H","F",12,0.154
"BIR","L",24,"H","F",13,0.152
"BIR","L",24,"H","F",14,0.143
"BIR","L",24,"H","F",15,0.172
"BIR","L",24,"H","F",16,0.158
"BIR","L",24,"H","F",17,0.171
"BIR","L",24,"H","F",18,0.128
"BIR","L",24,"H","F",19,0.17
"BIR","L",24,"H","F",20,0.171
"BIR","C",24,"H","F",1,0.203
"BIR","C",24,"H","F",2,0.188
"BIR","C",24,"H","F",3,0.17
"BIR","C",24,"H","F",4,0.169
"BIR","C",24,"H","F",5,0.18
"BIR","C",24,"H","F",6,0.198
"BIR","C",24,"H","F",7,0.167
"BIR","C",24,"H","F",8,0.167
"BIR","C",24,"H","F",9,0.183
"BIR","C",24,"H","F",10,0.238
"BIR","C",24,"H","F",11,0.168
"BIR","C",24,"H","F",12,0.203
"BIR","C",24,"H","F",13,0.169
"BIR","C",24,"H","F",14,0.157
"BIR","C",24,"H","F",15,0.21
"BIR","C",24,"H","F",16,0.171
"BIR","C",24,"H","F",17,0.154
"BIR","C",24,"H","F",18,0.154
"BIR","C",24,"H","F",19,0.193
"BIR","C",24,"H","F",20,0.212
"BIR","D",24,"H","F",1,0.207
"BIR","D",24,"H","F",2,0.182
"BIR","D",24,"H","F",3,0.157
"BIR","D",24,"H","F",4,0.156
"BIR","D",24,"H","F",5,0.164
"BIR","D",24,"H","F",6,0.183
"BIR","D",24,"H","F",7,0.134
"BIR","D",24,"H","F",8,0.18
"BIR","D",24,"H","F",9,0.171
"BIR","D",24,"H","F",10,0.154
"BIR","D",24,"H","F",11,0.189
"BIR","D",24,"H","F",12,0.181
"BIR","D",24,"H","F",13,0.175
"BIR","D",24,"H","F",14,0.163
"BIR","D",24,"H","F",15,0.166
"BIR","D",24,"H","F",16,0.212
"BIR","D",24,"H","F",17,0.18
"BIR","D",24,"H","F",18,0.205
"BIR","D",24,"H","F",19,0.163
"BIR","D",24,"H","F",20,0.186
"BIR","A",20,"H","F",1,0.149
"BIR","A",20,"H","F",2,0.203
"BIR","A",20,"H","F",3,0.149
"BIR","A",20,"H","F",4,0.15
"BIR","A",20,"H","F",5,0.158
"BIR","G",20,"H","F",1,0.156
"BIR","G",20,"H","F",2,0.197
"BIR","G",20,"H","F",3,0.129
